Prompt;Target Output;Actual Output;Bleu Score;chrF Score
"""Word/Rule:
bade = strong
byu = most
Question:
What does byubade most likely mean?""";"""Strongest""";Most Strong;;
"""Word/Rule:
pana = hand
goy = thing
Question:
What does panagoy most likely mean?""";"""hand-thing / tool / glove""";Hand-thing;;
"""Word/Rule:
toso = sound
doso = device
Question:
What does tosodoso most likely mean?""";"""Speaker / phone""";Sound device;;
"""Word/Rule:
lano = bread
tako = container
Question:
What does lanotako most likely mean?""";"""bread container / breadbox""";Bread container;;
"""Word/Rule:
gyu = in front
kwe = invert
Question:
What does kwegyu most likely mean?""";"""behind""";Invert gyu (inverted before);;
"""Word/Rule:
pome = soft
bey = -ly
Question:
What does pomebey most likely mean?""";"""softly""";Softly;;
"""Word/Rule:
swa = to be
sume = mature
Question:
In swe e sume, what part of speech is sume?""";"""Adjective (mature)""";Noun;;
"""Word/Rule:
mye = before
hay = have
Question:
What does mye hay most likely mean?""";"""Had / already have""";Before I have;;
"""Word/Rule:
koy = far
kwe = invert
Question:
What does kwekoy most likely mean?""";"""close / nearby""";Inverted far;;
"""Word/Rule:
syo = life
gen = -ness
Question:
What does syogen most likely mean?""";"""life-ness / vitality""";Life-lessness;;
