Prompt;Target Output;Actual Output;Bleu Score;chrF Score
"""Word/Rule:
mosey = interesting
gen = -ness
Question:
What does moseygen most likely mean?""";"""interestingness""";Interesting-ness;;
"""Word/Rule:
pya = talk
lase = fast
Question:
What does pyalase most likely mean?""";"""fast talk / rap""";fast-talking;;
"""Word/Rule:
day = give
u = indirect object particle
Question:
In bay i day u kyu e lano, what is the indirect object?""";"""kyu (you)""";kyu e lano;;
"""Word/Rule:
law = inside
kwe = invert
Question:
What does kwelaw most likely mean?""";"""outside""";Inverted law within;;
"""Word/Rule:
sote = hot
bey = -ly
Question:
What does sotebey most likely mean?""";"""hotly""";Hotly;;
"""Word/Rule:
gwi = good
baw = more
Question:
What does bawgwi most likely mean?""";"""better""";"Good and more, suggesting something that is even better than ""good.""";;
"""Word/Rule:
suka = sibling
moy = multiple
Question:
What does moysuka most likely mean?""";"""siblings""";Multiple siblings;;
"""Word/Rule:
dey = animal
sun = -like
Question:
What does deysun most likely mean?""";"""animal-like""";Animal-like sun;;
"""Word/Rule:
loy = see
gen = -ness
Question:
What does loygen most likely mean?""";"""sight / vision""";Loyalty-ness;;
"""Word/Rule:
taku = cause / because
gen = -ness
Question:
What does takugen most likely mean?""";"""cause / origin-ness""";Cause-ness;;
