Prompt;Target Output;Actual Output;Bleu Score;chrF Score
"""Word/Rule:
sun = similar / -like
daw = person
Question:
What does sundaw most likely mean?""";"""person-like / humanoid"""; Person-like;;
"""Word/Rule:
tay = many / very
daw = person
Question:
What does tay daw most likely mean?""";"""many people"""; Many persons;;
"""Word/Rule:
homu = calm
kwe = invert prefix
segu = music
Question:
What does kwehomusegu most likely mean?""";"""chaotic music/ rock music""";" kwehomusegu most likely means ""invert-calm-music"".";;
"""Word/Rule:
begu = if
myu = would
Question:
In begu bay i myu plu, what tense is plu?""";"""Conditional future / would go"""; The tense of 'plu' in the sentence is conditional (hypothetical).;;
"""Word/Rule:
tamye = fun
bey = -ly
Question:
What does tamyebey most likely mean?""";"""funnily / in a fun way""";" tamyebey most likely means ""fun-ly"".";;
"""Word/Rule:
mye = before / already
plu = to go
Question:
What does mye plu most likely mean?""";"""went / already go
""
""";" mye plu most likely means ""already going"".";;
"""Word/Rule:
pomo = egg
sun = -like
Question:
What does pomosun most likely mean?""";"""egg-like"""; pomosun most likely means something that is -like an egg but with the sun as its reference, possibly implying a round shape or yellow color. However, without additional context, this interpretation remains speculative.;;
"""Word/Rule:
pay = up / above
kwe = invert prefix
Question:
What does kwepay most likely mean?""";"""below / under""";" Most likely means ""above in.""";;
"""Word/Rule:
gwi = good
kwe = invert
Question:
What does kwegwi most likely mean?""";"""bad"""; gwikweg (using the provided rule 'kwe' for inverting and 'gwi' for good) most likely means bad.;;
"""Word/Rule:
moy = multiple
bay = me
Question:
What does moybay most likely mean?""";"""we / us""";" moybay most likely means ""multiple of me"".";;
