Prompt;Target Output;Actual Output;Bleu Score;chrF Score
"""Word/Rule:
sapye = excellent
tay = very
Question:
What does tay sapye most likely mean?""";"""very excellent / awesome""";very excellent;;
"""Word/Rule:
lesu = straight
gen = -ness
Question:
What does lesugen most likely mean?""";"""straightness""";straightness;;
"""Word/Rule:
hagu = story
sun = -like
Question:
What does hagusun most likely mean?""";"""story-like / fictional""";story-like;;
"""Word/Rule:
kya = what
daw = person
Question:
What does kyadaw most likely mean?""";"""Who""";what person;;
"""Word/Rule:
begu = if
tey = can
Question:
In begu bay i tey, what does tey mean?""";"""can / be able""";can;;
"""Word/Rule:
boy = preposition marker
law = inside
Question:
What does boylaw clarify?""";"""That law is used as a preposition (“inside”)""";inside;;
"""Word/Rule:
kwetaw = same
gwi = good
Question:
What does kwetaw gwi most likely mean?""";"""equally good / same good""";same good;;
"""Word/Rule:
telu = to / in order to
mabosyu = to make food
Question:
What does telu mabosyu most likely mean?""";"""in order to make food""";to make food in order to;;
"""Word/Rule:
yoy = hey/command marker
plu = go
Question:
What does i yoy plu mean?""";"""Go! (command)""";I yoy plu means I hey go, which is a command or expression to go.;;
"""Word/Rule:
titu = precise
bey = -ly
Question:
What does titu bey most likely mean?""";"""precisely / exactly""";precisely;;
