Prompt;Target Output;Actual Output;Bleu Score;chrF Score
"""Word/Rule:
mya = parent
bey = related / -ly

Question:
What does myabey most likely mean?""
""";"""parental / parent-related""";parent-related;;
"""Word/Rule:
bya = male
mya = parent

Question:
What does byamya most likely mean?""";"""father""";parent of a male;;
"""Word/Rule:
domay = friend
bay = I / me

Question:
What does bay domay most likely mean?""";"""my friend""
""";I am a friend;;
"""Word/Rule:
kyu = you
moy = multiple

Question:
What does moykyu most likely mean?""";"""you (plural)
""
""";multipleyou;;
"""Word/Rule:
dune = number
gen = concept / -ness

Question:
What does dungen most likely mean?""";"""quantity / amount-ness""";number-concept;;
"""lenu = art
syu = to do / make

Question:
What does lenusyu most likely mean?""";"""to make art""
""";            To create an artwork;;
"""bote = blue
sun = similar / -like

Question:
What does botesun most likely mean?""";"""blue-like / bluish""";"botesun most likely means ""blue-like"" or ""similar to blue"".";;
"""Word/Rule:
pila = bird
lase = fast

Question:
What does lase pila most likely mean?""";"""blue-like / bluish""";fast bird;;
"""Word/Rule:
hagu = story
goy = thing / object

Question:
What does hagugoy most likely mean?

Target Output:
story-thing / book / tale object""";"""Story-thing / Storybook / book""";Story-object;;
"""Word/Rule:
swa = to be
lase = fast

Question:
In swe i swa lase, what does lase modify?""";"""The verb “to be” — so “they are quickly”""";fast;;
