Prompt;Target Output;Actual Output;Bleu Score;chrF Score
"""Word/Rule:
bade = strong
byu = most
Question:
What does byubade most likely mean?""";"""Strongest""";most;;
"""Word/Rule:
pana = hand
goy = thing
Question:
What does panagoy most likely mean?""";"""hand-thing / tool / glove""";hand;;
"""Word/Rule:
toso = sound
doso = device
Question:
What does tosodoso most likely mean?""";"""Speaker / phone""";"toso = noise
doso = machine";;
"""Word/Rule:
lano = bread
tako = container
Question:
What does lanotako most likely mean?""";"""bread container / breadbox""";bake;;
"""Word/Rule:
gyu = in front
kwe = invert
Question:
What does kwegyu most likely mean?""";"""behind""";kwegyu;;
"""Word/Rule:
pome = soft
bey = -ly
Question:
What does pomebey most likely mean?""";"""softly""";soft;;
"""Word/Rule:
swa = to be
sume = mature
Question:
In swe e sume, what part of speech is sume?""";"""Adjective (mature)""";kwa;;
"""Word/Rule:
mye = before
hay = have
Question:
What does mye hay most likely mean?""";"""Had / already have""";mee;;
"""Word/Rule:
koy = far
kwe = invert
Question:
What does kwekoy most likely mean?""";"""close / nearby""";kwekoy = turn;;
"""Word/Rule:
syo = life
gen = -ness
Question:
What does syogen most likely mean?""";"""life-ness / vitality""";syogon;;
